case_number,primary_type,description,location_description,arrest,year
JJ446694,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,False,2025
JJ447749,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,2025
JJ446678,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,COMMERCIAL / BUSINESS OFFICE,False,2025
JJ446681,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,2025
JJ454756,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ446904,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,False,2025
JJ446733,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,True,2025
JJ446677,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,False,2025
JJ446676,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2025
JJ446670,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,2025
JJ446672,NARCOTICS,POSSESS - COCAINE,SIDEWALK,True,2025
JJ446656,OTHER OFFENSE,LICENSE VIOLATION,GAS STATION,True,2025
JJ447418,BATTERY,AGGRAVATED - HANDGUN,HOSPITAL BUILDING / GROUNDS,False,2025
JJ446791,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,2025
JJ446859,THEFT,$500 AND UNDER,APARTMENT,False,2025
JJ447472,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,2025
JJ446794,THEFT,OVER $500,OTHER (SPECIFY),False,2025
JJ450929,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),False,2025
JJ446622,ASSAULT,SIMPLE,RESIDENCE,False,2025
JJ455153,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),False,2025
JJ446617,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,2025
JJ452642,THEFT,FROM BUILDING,RESIDENCE - YARD (FRONT / BACK),False,2025
JJ446635,CRIMINAL TRESPASS,TO LAND,HOSPITAL BUILDING / GROUNDS,True,2025
JJ446619,CRIMINAL TRESPASS,TO LAND,OTHER (SPECIFY),False,2025
JJ446647,ASSAULT,SIMPLE,STREET,False,2025
JJ453808,THEFT,OVER $500,CURRENCY EXCHANGE,False,2025
JJ446722,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,APARTMENT,True,2025
JJ447123,THEFT,$500 AND UNDER,OTHER (SPECIFY),False,2025
JJ448021,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,2025
JJ446646,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ446639,ASSAULT,SIMPLE,SIDEWALK,False,2025
JJ449070,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,False,2025
JJ447525,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,2025
JJ446593,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ446581,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,2025
JJ446935,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,GROCERY FOOD STORE,False,2025
JJ446604,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,2025
JJ447741,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,2025
JJ447117,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,2025
JJ446787,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,2025
JJ446562,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,SIDEWALK,False,2025
JJ446570,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SCHOOL - PUBLIC BUILDING,False,2025
JJ446612,BATTERY,SIMPLE,STREET,False,2025
JJ446951,BATTERY,SIMPLE,APARTMENT,False,2025
JJ446732,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447365,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,APARTMENT,False,2025
JJ446823,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,False,2025
JJ448869,ASSAULT,SIMPLE,APARTMENT,False,2025
JJ446547,THEFT,$500 AND UNDER,CONVENIENCE STORE,False,2025
JJ451673,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,APARTMENT,False,2025
JJ446558,ASSAULT,SIMPLE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,False,2025
JJ446531,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),False,2025
JJ446533,THEFT,OVER $500,RESIDENCE,False,2025
JJ446648,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,2025
JJ454818,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,2025
JJ446541,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ446502,THEFT,$500 AND UNDER,APARTMENT,False,2025
JJ446607,ASSAULT,SIMPLE,RESIDENCE,False,2025
JJ446516,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,False,2025
JJ446523,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,2025
JJ446907,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),False,2025
JJ447703,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,2025
JJ446815,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ446668,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447308,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,2025
JJ449236,THEFT,FROM BUILDING,APARTMENT,False,2025
JJ450126,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,2025
JJ446780,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,APARTMENT,False,2025
JJ446876,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,RESTAURANT,False,2025
JJ446491,BURGLARY,BURGLARY FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,False,2025
JJ446478,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ446465,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CHA APARTMENT,False,2025
JJ446846,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,2025
JJ447026,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,2025
JJ446453,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,2025
JJ446473,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,True,2025
JJ446841,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,DRUG STORE,False,2025
JJ446476,STALKING,SIMPLE,ALLEY,False,2025
JJ446444,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,True,2025
JJ446451,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ446458,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
